Rk,team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
1,Duke,ACC,31-3,38.3,128,89.7,65.7,-0.019,10.12,112.5,102.4,9.32
2,Florida,SEC,30-4,36.2,128.6,92.4,69.6,0.007,14.53,114.5,100,-1.96
3,Houston,B12,30-4,35.4,123.2,87.8,61.4,0.015,13.67,113.6,99.9,2.57
4,Auburn,SEC,28-5,35.2,128.5,93.3,67.6,0.03,19.11,117.1,98,10.4
5,Tennessee,SEC,27-7,31.2,120.3,89.1,63.6,0.016,16.02,116.7,100.6,-0.85
6,Alabama,SEC,25-8,30.1,126.5,96.5,74.8,0.029,19.64,118.3,98.7,12.08
7,Texas Tech,B12,25-8,28.1,125.3,97.2,65.4,-0.045,11.27,111.9,100.6,-4.66
8,Michigan St.,B10,27-6,27.6,118.2,90.5,67.7,-0.009,13.43,114.2,100.8,0.5
9,Gonzaga,WCC,25-8,27.3,123.5,96.3,70.2,-0.074,7.04,110.8,103.8,8.75
10,Iowa St.,B12,24-9,27,119.4,92.4,68.6,-0.048,12.65,113.4,100.7,-0.9
11,Maryland,B10,25-8,26.4,118.1,91.8,69.8,-0.038,10.96,113,102.1,-10.48
12,St. John's (NY),BE,30-4,26.3,113.9,87.6,70.1,-0.019,9.08,111.8,102.7,-0.06
13,Wisconsin,B10,26-9,26,122,96,67.6,-0.033,13.9,114.2,100.3,-0.11
14,Arizona,B12,22-12,25.7,122.6,96.8,69.9,-0.049,16.42,115.2,98.8,5.15
15,Missouri,SEC,22-11,24.5,125.3,100.8,68.2,-0.048,13.14,113.8,100.7,-9.26
16,Kentucky,SEC,22-11,24.3,123.8,99.5,70.9,0.007,17.92,116.9,99,3.79
17,Texas A&M,SEC,22-10,24.1,116.2,92.1,66.1,0.001,16.2,115.5,99.3,7.09
18,Clemson,ACC,27-6,23.9,118.7,94.7,64.3,-0.032,8.33,111.5,103.1,3.69
19,Purdue,B10,22-11,23.9,124.3,100.4,65,-0.007,15.76,115.4,99.6,10.41
20,Illinois,B10,21-12,23.6,121.7,98.1,71.3,-0.018,15.98,115,99,3.42
21,Kansas,B12,21-12,23.3,116,92.7,68.4,-0.024,15.57,114.9,99.3,8.81
22,Saint Mary's (CA),WCC,28-5,23.1,115.3,92.2,61.7,0.005,5.42,111,105.6,5.15
23,Louisville,ACC,27-7,22.7,118.1,95.4,68.8,0.058,10.44,112.7,102.2,7.14
24,BYU,B12,24-9,22.4,123,100.6,67.2,0.036,11.11,111.8,100.7,-7.9
25,Michigan,B10,25-9,22.3,116,93.7,69.4,0.07,14.9,114.4,99.5,3.84
26,Ole Miss,SEC,22-11,22.1,117.9,95.7,68,0.018,15.86,115.1,99.3,-0.56
27,UCLA,B10,22-10,21.8,116.9,95.1,64.9,-0.008,12.6,113.7,101.1,-5.18
28,Marquette,BE,23-10,21.5,117.6,96.1,67.6,-0.013,12.47,113,100.6,8.67
29,Baylor,B12,19-14,21.2,120.8,99.7,64.5,-0.054,15.71,113.7,98,7.68
30,North Carolina,ACC,23-13,20.7,119.8,99.2,70.5,-0.021,12.33,113.3,100.9,13.32
31,VCU,A10,28-6,20.2,116.1,95.9,66.1,-0.051,0.95,106.7,105.8,-4.08
32,Mississippi St.,SEC,21-12,20.2,118.8,98.6,68.1,0.012,14.87,115.1,100.2,0.64
33,Oregon,B10,24-9,20.1,116.6,96.5,67.6,0.085,14.14,114.4,100.2,4.08
34,Georgia,SEC,20-12,19.4,115.4,96,66.4,-0.001,13.66,113.9,100.2,-5.38
35,UConn,BE,23-10,19.3,121.9,102.6,63.7,-0.019,10.06,112,102,-0.18
36,Creighton,BE,24-10,18.6,116.9,98.2,67,0.049,11.43,112.2,100.7,5.42
37,UC San Diego,BW,30-4,18.4,115,96.6,65.7,0.01,-1.96,105.7,107.6,-2.01
38,Oklahoma,SEC,20-13,18.4,119.1,100.7,68.5,0.005,14.68,114.6,99.9,-5.41
39,Ohio St.,B10,17-15,18.3,117.6,99.3,67,-0.07,14.4,114.7,100.3,3.12
40,Arkansas,SEC,20-13,17.8,113,95.2,69.3,-0.008,13.93,114.8,100.8,-2.51
41,Texas,SEC,19-15,17.2,116.7,99.5,67.4,-0.057,14.06,114.2,100.1,-8.2
42,Xavier,BE,21-11,17.2,115.5,98.3,69.1,-0.02,9.39,111.1,101.7,-1.15
43,New Mexico,MWC,26-7,17,112.3,95.3,72.7,0,6.01,109,103,5.13
44,Colorado St.,MWC,25-9,17,116,99.1,66,0.025,5.56,109.3,103.7,1.43
45,Northwestern,B10,17-16,16.4,113.9,97.5,64.9,-0.089,12.41,113.6,101.2,-2.16
46,SMU,ACC,23-10,16.3,116.6,100.4,68.4,0.011,6.08,110.2,104.2,-3.78
47,Indiana,B10,19-13,16.2,113.6,97.4,67.9,0.024,13.33,114.4,101,1.4
48,Vanderbilt,SEC,20-12,16.2,118,101.8,69.5,0.025,12.97,113.6,100.7,-6.81
49,Boise St.,MWC,24-10,15.6,115.8,100.2,65.2,0.004,6.11,109,102.9,1.64
50,Memphis,Amer,29-5,15.4,113.1,97.7,70.8,0.09,6.09,111.1,105,15.7
51,West Virginia,B12,19-13,15.1,109,93.9,64.2,0.023,13.21,113,99.8,0.97
52,Santa Clara,WCC,21-12,14.9,116.5,101.5,68.8,-0.054,3.83,109.4,105.6,3.63
53,SDSU,MWC,21-10,14.9,109.6,94.6,66.1,0.028,9,111.3,102.3,13.01
54,Utah St.,MWC,26-7,14.9,120.6,105.7,67.5,0.086,5.35,108.5,103.2,0.7
