team,ast.to.ratio,ast.g,bench.ppg,blks.g,eFG,fastbreak.pts,fga,fg.perc.off,fg.perc.def,fouls.g,fta.g,ft.perc,ftm.g,reb.margin,reb.def,reb.off,reb.g,scoring.def,scoring.margin,scoring.off,stls.g,threepa.g,threep.perc.off,threep.perc.def,threepm.g,to.margin,to.force.g,to.g,opp.eFG,poss.per.game
Akron,1.51,18.1,34.35,3.7,0.557,13.47,64.1,47.3,42.8,17.9,16.8,75.3,12.6,4.4,26.91,12.06,38.97,74.5,10.1,84.6,7.7,29.8,36.4,31.4,10.9,0.6,12.59,12,0.495,74.6
Alabama,1.32,16.8,34.21,4.5,0.563,13.91,64.4,48.3,42.5,19,25.8,71.6,18.5,6.4,30.18,12.91,43.09,81.4,9.7,91.1,6.1,29.8,35,30.8,10.4,-2.4,10.39,12.8,0.479,78.8
Alabama St.,1.29,11.8,24.44,2.9,0.476,13.62,62.8,40.5,43.5,18.2,18.9,69.2,13.1,-3.4,24.56,11.68,36.24,72.2,1.2,73.4,7.8,27.2,33,33.1,9,4,13.15,9.1,0.503,71.2
American,1.13,12.5,15.29,1.9,0.521,8.82,53.7,44.3,45.4,17.9,16.4,75.6,12.4,-2,22.62,7.71,30.32,67.3,1.4,68.6,6.6,24.2,34.7,32.9,8.4,0.9,11.94,11.1,0.521,65.6
Arizona,1.42,16.3,29.68,4.3,0.529,14.03,60.8,47.3,41.5,16.6,22.2,78.4,17.4,6.9,27.35,12.24,39.59,72.4,9.3,81.7,7.7,21.1,32.4,33.6,6.8,0.3,11.76,11.5,0.486,72.6
Arkansas,1.24,14.5,17.12,5.6,0.527,12.67,58.2,46.6,42,16.1,20.7,73.4,15.2,0.8,26.09,9.21,35.3,71.2,5.5,76.6,7.6,21.4,33.3,31.9,7.1,0.7,12.39,11.7,0.483,72.3
Auburn,1.78,16.5,26.97,6.2,0.557,9.97,61.5,48.3,40.9,18.6,20.6,74,15.3,3.7,25.39,11.67,37.06,69.6,14.2,83.8,7,25,36.8,29.2,9.2,2.8,12.03,9.2,0.46,70.9
Baylor,1.33,14.6,18.15,2.9,0.518,10.21,59.8,44.8,43.3,16.3,18.5,74.5,13.8,3.3,23.24,12.73,35.97,69.2,7.3,76.5,7.6,24.2,35.1,35,8.5,1.7,12.73,11,0.512,68.2
Bryant,1.25,15,16.76,6,0.52,12.29,64.9,46,41.6,15.6,19.6,71.7,14.1,5.4,28.06,13.41,41.47,73.9,8.5,82.4,6.7,23.2,33.7,32.4,7.8,0.1,12.15,12,0.477,75.5
BYU,1.42,17.2,30.76,3.2,0.572,10,59.7,48.2,42.9,16.1,18,70.5,12.7,6,26.39,11.09,37.48,70.9,10.1,81,7.2,28.8,37.1,34.8,10.7,-0.2,11.88,12.1,0.506,70.9
Clemson,1.38,14.4,15.67,3.6,0.536,7.21,59.2,46.5,42.7,15.2,16.7,76.6,12.8,3,24.12,11.21,35.33,65.7,10.7,76.3,7.5,22.8,37.2,32.2,8.5,2.9,13.36,10.5,0.489,68
Colorado St.,1.43,16.6,20.09,2.8,0.558,7.74,55.2,47.9,42.2,17.4,17.5,77.5,13.6,3.1,26.71,8.12,34.82,67.1,8.1,75.2,5.1,23.6,36.6,33.1,8.6,-0.4,11.21,11.6,0.485,68.4
Creighton,1.39,17.1,13.68,4.6,0.558,9.09,56.8,47.5,41.2,10.9,16.2,73.3,11.9,3.4,29.09,8.62,37.71,69.5,5.7,75.2,3.7,27.9,33.9,32.7,9.4,-4.3,8,12.3,0.47,69.5
Drake,1.2,13.3,19.58,2.4,0.547,6.06,49.8,48.1,44.2,15.7,21.4,70.5,15.1,5.9,20.73,10.27,31,58.4,11.7,70.1,9,18.7,35.5,31,6.6,2.6,13.76,11.2,0.517,61.9
Duke,1.75,16.8,20.97,3.8,0.574,11.62,59.1,48.8,38.6,15.9,19,78.4,14.9,8.1,27.41,11.21,38.62,61.9,20.8,82.7,6.9,26.8,37.7,30.9,10.1,2.2,11.79,9.6,0.445,68.3
Florida,1.49,16,22.21,4.8,0.552,16.82,64,47.4,39.7,17,20.6,71.1,14.7,8.1,28.33,13.79,42.12,69,16.4,85.4,7.8,27.9,35.6,29.6,9.9,1.4,12.15,10.7,0.453,72.5
Georgia,0.97,12.5,22.78,5.2,0.525,10.28,56.6,46.4,40.9,16.7,22.5,71.7,16.2,4.2,24.81,11.81,36.63,69.3,6.3,75.6,7.7,20.8,33.5,30.9,7,-0.6,12.34,12.9,0.472,70.4
Gonzaga,2.09,19.7,27.79,3,0.557,14.82,63.6,50,41.4,16.7,19.6,80.1,15.7,5.7,27.42,11.18,38.61,69.6,17,86.6,7.6,21.3,34.4,30.2,7.3,3.6,13,9.4,0.476,73.3
Grand Canyon,1.07,14.1,23,5.1,0.514,10.67,58.2,46.1,40.9,17.4,25.9,73.3,19,4,26.21,11.15,37.36,69.1,10,79.2,9.4,19.8,31.5,31.7,6.2,1.9,15.12,13.2,0.47,74.5
High Point,1.25,13,28.47,2.9,0.565,11.29,57.7,49.4,42.6,18,21.6,76.3,16.5,5.7,25.18,11.26,36.44,68.8,13.4,82.2,6.2,22.6,36.4,32.7,8.2,1.3,11.71,10.4,0.491,69
Houston,1.29,12,19.53,4.6,0.527,8.18,58.8,45.8,38.3,16.4,16.6,74.1,12.3,4.6,23.94,12.26,36.21,58.5,15.7,74.2,7.9,20.3,39.8,30.9,8.1,4.5,13.79,9.3,0.449,65.6
Illinois,1.3,15,24.79,4.2,0.523,7.24,64,45,42.2,16.2,22.2,75.9,16.8,8.8,29.45,13.06,42.52,74.6,9.2,83.8,4.4,30.1,31.1,33.3,9.4,-2.3,9.24,11.5,0.473,74.5
Iowa St.,1.26,15,22.24,3.5,0.546,11.85,58.1,48,41.7,16.1,22.4,75.7,16.9,3.7,25.09,10.33,35.42,68.1,12.3,80.4,9.4,21.4,35.8,33.2,7.7,3.5,15.39,11.9,0.484,72.1
Kansas,1.51,17.7,20.85,4.8,0.531,10.24,61.7,47.1,39.9,14.2,15,71.1,10.7,3.8,28,10.55,38.55,69.3,6.9,76.2,6.2,21.1,35.2,30.9,7.4,-0.8,10.94,11.7,0.462,71.6
Kentucky,1.52,16.8,22.67,4,0.56,14.3,61.6,48.2,43.7,17.4,22.1,73.8,16.3,3.5,28.39,10.09,38.48,77.9,7.4,85.3,6.8,25.7,37.4,30.8,9.6,-0.9,10.18,11.1,0.504,74.4
Liberty,1.68,16.9,24.56,2.9,0.589,7.91,54.2,49.4,40.1,13.5,16.4,66.1,10.8,-1.1,26.62,6.41,33.03,62.9,13.7,76.6,6.6,27.1,39,28.3,10.6,2,12.03,10.1,0.46,68
Lipscomb,1.59,15.1,14.65,3.1,0.558,8.26,56.8,47.3,42.2,12.6,17.9,79.4,14.2,1.9,27.53,8.29,35.82,67.3,12,79.3,6.9,27.5,35.9,30.8,9.9,1.6,11.15,9.5,0.487,68.7
Louisville,1.22,14,17.18,2.9,0.534,6.65,59.4,45.4,42.5,15.5,20.5,74.4,15.2,4.1,26.26,11.18,37.44,68.9,9.7,78.6,6.4,28.5,33,33.7,9.4,1.4,12.88,11.4,0.492,70.7
